tot,wh,afam,amin,as,hw,ot,combo1,combo2,combo3,tract,simpsons,gini-simp
3410,2038,165,18,937,93,0,159,0,159,293.06,0.44015557141751444,0.5598444285824855
4288,2753,75,79,978,0,138,265,0,265,293.07,0.47353453624484854,0.5264654637551515
5817,2375,454,52,2111,38,307,480,55,425,294.03,0.31963095724981244,0.6803690427501876
5641,3336,332,0,1224,121,335,293,14,279,294.05,0.4094182056115918,0.5905817943884082
5657,2586,998,51,1585,37,160,240,115,125,294.06,0.3222223017320138,0.6777776982679862
4443,2214,529,4,885,58,555,198,10,188,294.07,0.3217241585959731,0.6782758414040269
4211,2095,456,0,878,32,516,234,25,209,294.08,0.32337122285094155,0.6766287771490584
7220,4128,703,41,1761,293,114,180,10,170,295.02,0.39896946769898944,0.6010305323010106
8843,4376,1179,32,1467,202,1118,469,77,392,295.03,0.3115502928957251,0.6884497071042749
6661,3641,1393,0,674,18,517,418,71,347,295.04,0.36555752617919185,0.6344424738208081
6727,3097,983,62,1868,0,167,550,187,363,296.01,0.3214868499393703,0.6785131500606296
5947,4128,175,26,905,156,105,452,151,301,296.02,0.5158445875057599,0.4841554124942401
8285,5527,817,88,648,0,726,479,21,458,297.0,0.475072931754933,0.5249270682450671
8830,4996,759,48,1109,227,889,802,80,722,298.01,0.3691346164945254,0.6308653835054746
8464,5371,710,44,1215,136,445,543,0,543,298.02,0.44160290184872847,0.5583970981512716
4593,3422,387,30,541,0,41,172,0,172,299.01,0.5789953653476126,0.42100463465238736
4105,2682,477,0,319,47,58,522,0,522,299.02,0.4790779789359994,0.5209220210640007
6680,3481,794,34,745,0,1037,589,0,589,300.03,0.33779422442540064,0.6622057755745994
8165,3724,1300,62,1014,572,946,547,166,381,300.04,0.2742613330613356,0.7257386669386644
5618,3023,455,8,562,156,843,571,65,506,300.05,0.34797463551334823,0.6520253644866518
3933,1880,717,21,392,146,590,187,39,148,300.06,0.29934429923957023,0.7006557007604297
7809,5803,453,23,750,203,325,252,0,252,301.0,0.5693114982153058,0.4306885017846942
5642,3308,390,0,800,100,565,479,0,479,302.01,0.39340935162309415,0.6065906483769059
6374,3335,1054,92,695,36,369,793,0,793,302.02,0.34753933481533716,0.6524606651846628
3310,2209,186,70,437,1,34,373,80,293,303.04,0.4876444172652677,0.5123555827347324
5509,3991,496,25,597,1,76,323,22,301,303.05,0.5513287865289892,0.4486712134710108
5796,4013,585,177,569,0,64,388,32,356,303.06,0.5085455522263517,0.49145444777364833
6929,4150,699,12,911,477,532,148,77,71,303.08,0.39750425324041605,0.602495746759584
5742,3346,963,0,560,17,304,552,0,552,303.09,0.3985008567035735,0.6014991432964265
5807,3189,365,6,1606,84,191,366,27,339,303.1,0.39071390860996885,0.6092860913900311
5590,3550,451,70,436,52,499,532,65,467,303.11,0.4402808490756238,0.5597191509243762
4952,3071,429,65,634,52,161,540,11,529,303.12,0.43313426014129836,0.5668657398587016
3729,2397,235,23,465,204,139,266,26,240,303.13,0.4464120914971341,0.5535879085028659
