yrpub,count,authorOfColor,nonPersonAuthor,neighborhood,collection,type,age,category1,category2,category1Code,languages,originalLang,combinedName
1978,1,0,0,Laurelhurst,Laurelhurst2,Nonfiction,Adult,Self Help/Health,Self Help/Health,SH,English,English,Arthur Bloch
2015,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Suspense,Suspense,SUS,English,English,Stuart Woods
1986,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Suspense,Suspense,SUS,English,English,Tom Clancy
1988,1,0,0,Laurelhurst,Laurelhurst2,Fiction,Adult,Western,Western,WS,English,English,Louis L'Amour
1977,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Biography/Autobiography/Memoir,Biography/Autobiography/Memoir,BIO,English,English,Saul Bellow
2000,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Business/Technology,Business/Technology,BU,English,English,Thomas L. Friedman
1995,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Maryana Vollstedt
1986,1,1,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Martin Yan
1998,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,Cookery,Cookery,CO,English,English,Bruce Aidells
1979,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,Cookery,Cookery,CO,English,,Katz
2007,1,0,0,Laurelhurst,Laurelhurst3,Nonfiction,Adult,History,History,H,English,English,Sarah Helm
2004,1,1,0,Laurelhurst,Laurelhurst3,Fiction,Adult,Literary Fiction,Literary Fiction,LITF,English,English,Jhumpa Lahiri
2009,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Adult,Mystery,Mystery,MYS,English,English,Mary Daheim
1999,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Childrens,Null,Null,NU,English,English,Todd Strasser
1999,1,0,0,Laurelhurst,Laurelhurst3,Fiction,Childrens,Null,Null,NU,English,English,Marc Cerasini
